Age,Married_Status,How_may_money_you_can_get_in_one_month,How_many_hours_can_spend_to_degree_in_once_a_week,Emploment_status,ol_maths,ol_science,ol_history,ol_primary_language,ol_english,ol_religion,ol_group01_subject,grade_for_subject01,ol_group2_subject,grade_for_subject02,ol_group3_subject,grade_for_subject03,al_stream,al_english,al_subject1,grade_for_subject1,al_subject2,grade_for_subject2,al_subject3,grade_for_subject3,degree
21-30 years,Single,"30,000 - 50,000",More than 20 hours,Employed part-time,A,B,B,B,S,B,Business & Accounting Studies,B,Music (Oriental),C,Information & Communication Technology,C,Mathematics,C,Combine Mathematics,S,Physics,C,Chemistry,C,Bachelor of Technology - Electrical Engineering
21-30 years,Single,"Less than 30,000",More than 20 hours,Unemployed,C,C,B,C,C,B,Geography,B,Art,B,Agriculture & Food Technology,B,Arts,C,Art,B,Economics,C,Business,C,Bachelor of Industrial Studies Honours – Fashion Design and Product Development
15-20 years ,Single,"Less than 30,000",More than 20 hours,Unemployed,A,A,B,B,A,A,Business & Accounting Studies,A,Music (Oriental),A,Information & Communication Technology,B,Science,B,Agro Technology,C,Biology,S,Chemistry,S,Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering
21-30 years,Married,"70,000 - 90,000",16-20 hours,Employed full-time,A,B,A,B,A,A,Business & Accounting Studies,A,Appreciation of English Literary Texts,C,Information & Communication Technology,A,Mathematics,B,Combine Mathematics,S,Physics,C,Chemistry,C,Bachelor of Technology - Civil Engineering
21-30 years,Married,"More than 90,000",11-15 hours,Employed part-time,A,A,C,A,A,A,Business & Accounting Studies,B,Drama and Theatre (Sinhala),B,Information & Communication Technology,A,Mathematics,B,Combine Mathematics,C,Chemistry,C,Physics,C,Bachelor of Software Engineering Honours
21-30 years,Single,"More than 90,000",11-15 hours,Employed full-time,C,S,C,B,B,A,Business & Accounting Studies,C,Art,C,Health & Physical Education,A,Commerce,B,Economics,C,Business,C,Accounting,C,Bachelor of Industrial Studies Honours – Apparel Production and Management
21-30 years,Single,"50,000 - 70,000",6-10 hours,Employed part-time,B,B,B,A,C,B,Japanese,C,Music (Western),C,Health & Physical Education,B,Mathematics,C,Combine Mathematics,C,Chemistry,C,Physics,C,Bachelor of Technology - Computer Engineering
21-30 years,Single,"70,000 - 90,000",1-5 hours,Employed full-time,B,A,C,A,B,B,Geography,B,Dancing (Oriental),A,Information & Communication Technology,B,Science,C,Biology,A,Chemistry,B,Physics,C,Bachelor of Industrial Studies Honours - Agriculture
15-20 years ,Single,"30,000 - 50,000",11-15 hours,Employed part-time,B,B,B,B,B,B,Geography,B,Music (Oriental),B,Health & Physical Education,A,Commerce,C,Economics,C,Business,C,Information & Communication,C,Bachelor of Technology Honours in Engineering – Textile & Clothing
21-30 years,Married,"More than 90,000",1-5 hours,Employed full-time,A,B,C,A,B,C,Business & Accounting Studies,A,Music (Oriental),B,Agriculture & Food Technology,B,Mathematics,A,Combine Mathematics,C,Chemistry,B,Physics,C,Bachelor of Technology - Mechatronics Engineering
21-30 years,Single,"30,000 - 50,000",More than 20 hours,Employed part-time,A,B,B,B,S,B,Business & Accounting Studies,B,Music (Oriental),C,Information & Communication Technology,C,Mathematics,S,Combine Mathematics,S,Physics,C,Chemistry,S,Bachelor of Technology - Electrical Engineering
21-30 years,Single,"Less than 30,000",More than 20 hours,Unemployed,C,C,B,C,C,B,Geography,B,Art,B,Agriculture & Food Technology,B,Arts,S,Art,B,Economics,C,Business,C,Bachelor of Industrial Studies Honours – Fashion Design and Product Development
15-20 years ,Single,"Less than 30,000",More than 20 hours,Unemployed,A,A,B,B,A,A,Business & Accounting Studies,A,Music (Oriental),A,Information & Communication Technology,B,Science,B,Agro Technology,C,Biology,S,Chemistry,S,Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering
21-30 years,Married,"More than 90,000",16-20 hours,Employed full-time,A,B,A,B,A,A,Business & Accounting Studies,A,Appreciation of English Literary Texts,C,Information & Communication Technology,A,Mathematics,B,Combine Mathematics,S,Physics,C,Chemistry,C,Bachelor of Technology - Civil Engineering
31-40 years,Married,"50,000 - 70,000",11-15 hours,Employed full-time,A,A,B,C,A,C,Civic Education,B,Drama and Theatre (Sinhala),B,Information & Communication Technology,A,Mathematics,B,Combine Mathematics,C,Chemistry,C,Physics,C,Bachelor of Industrial Studies Honours – Textile Manufacture Specialization
21-30 years,Single,"More than 90,000",11-15 hours,Employed full-time,C,S,C,B,B,A,Business & Accounting Studies,C,Art,C,Health & Physical Education,A,Commerce,B,Economics,C,Business,C,Accounting,C,Bachelor of Industrial Studies Honours – Apparel Production and Management
21-30 years,Single,"50,000 - 70,000",6-10 hours,Employed part-time,A,B,B,B,C,B,Japanese,C,Music (Western),C,Health & Physical Education,B,Mathematics,C,Combine Mathematics,C,Chemistry,C,Physics,C,Bachelor of Technology - Computer Engineering
21-30 years,Single,"70,000 - 90,000",1-5 hours,Employed full-time,B,A,C,A,B,B,Geography,B,Dancing (Oriental),A,Information & Communication Technology,B,Science,C,Biology,A,Chemistry,B,Physics,C,Bachelor of Technology - Mechanical Engineering
15-20 years ,Single,"30,000 - 50,000",11-15 hours,Employed part-time,B,B,B,B,C,B,Geography,B,Music (Oriental),B,Health & Physical Education,A,Commerce,C,Economics,C,Business,C,Information & Communication,C,Bachelor of Industrial Studies Honours – Apparel Production and Management
21-30 years,Married,"More than 90,000",1-5 hours,Employed full-time,A,B,C,A,B,C,Second Language (Tamil),A,Music (Oriental),B,Agriculture & Food Technology,B,Mathematics,A,Combine Mathematics,C,Chemistry,B,Physics,C,Bachelor of Technology - Electronic and Communication Engineering
