Date,BadgerysCreek,Newcastle,NorahHead,Penrith,Richmond,Sydney,SydneyAirport,Williamtown,Wollongong
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-03,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4
2009-01-09,0.4,2.4,2.8,1.4,1.4,0.4,0.0,1.4,0.6
2009-01-10,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-12,4.0,0.0,1.0,8.4,3.4,1.2,0.8,0.0,1.0
2009-01-13,0.0,0.0,0.2,0.0,0.2,0.2,0.6,0.0,0.2
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-16,0.4,6.6,10.4,1.0,0.4,1.8,5.4,6.0,0.0
2009-01-17,0.0,1.6,1.2,0.2,0.2,0.0,0.0,0.0,2.0
2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-21,0.4,0.0,0.0,0.0,0.0,1.6,3.0,0.0,0.0
2009-01-22,19.4,0.0,2.0,2.2,1.6,1.0,0.6,0.0,5.2
2009-01-23,0.2,2.0,0.0,0.2,0.2,0.0,0.0,1.0,0.0
2009-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
2009-01-25,0.0,2.4,0.0,0.0,0.0,0.0,0.0,10.4,0.0
2009-01-26,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0
2009-01-27,3.6,0.0,0.0,5.6,10.6,14.2,8.2,0.4,5.6
2009-01-28,0.0,0.0,0.2,0.2,0.2,4.4,0.2,0.0,0.0
2009-01-29,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-30,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-03,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2009-02-04,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2009-02-05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
