iter	Logloss
0	0.4542090261
1	0.3656914918
2	0.3330681079
3	0.3031358643
4	0.2684808499
5	0.2518365846
6	0.2221275321
7	0.2065816691
8	0.1878124923
9	0.1734286146
10	0.1631828878
11	0.1496633103
12	0.1385221926
13	0.1236810133
14	0.1175578368
15	0.109373685
16	0.1026605449
17	0.09553283015
18	0.08725755811
19	0.08098156002
20	0.07743218304
21	0.07281709275
22	0.0678057844
23	0.0651123706
24	0.06212417614
25	0.05919568304
26	0.05606483646
27	0.05241473014
28	0.04996292675
29	0.04706334395
30	0.04496639881
31	0.04400211098
32	0.0425537984
33	0.0396024243
34	0.03770988391
35	0.03556686418
36	0.03450933079
37	0.0334690443
38	0.03214264598
39	0.03069258956
40	0.02985310295
41	0.02864337894
42	0.02741283709
43	0.02657467468
44	0.02586996416
45	0.02485887565
46	0.02423688504
47	0.02310005045
48	0.02216629088
49	0.02186954961
