iter	Passed	Remaining
0	4547	222847
1	9365	224781
2	13665	214100
3	18043	207504
4	22530	202770
5	26865	197016
6	31259	192020
7	35402	185862
8	39747	181073
9	43988	175952
10	48149	170712
11	52224	165378
12	56287	160202
13	60781	156295
14	64831	151274
15	69000	146626
16	73142	141982
17	77354	137518
18	81519	133005
19	85745	128618
20	89913	124165
21	94247	119951
22	98227	115311
23	103023	111608
24	107378	107378
25	111546	102966
26	115794	98639
27	120298	94520
28	124896	90442
29	129411	86274
30	133964	82107
31	138431	77867
32	142757	73541
33	147158	69250
34	151778	65047
35	156076	60696
36	160526	56401
37	164621	51985
38	168719	47587
39	173213	43303
40	177310	38921
41	181612	34592
42	185905	30263
43	190664	25999
44	194736	21637
45	199340	17333
46	204207	13034
47	208220	8675
48	212192	4330
49	216238	0
