,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
45587,2007-11-01,CANBERRA,8.0,24.3,0.0,3.4,6.3,NW,30.0,SW,NW,6.0,20.0,68.0,29.0,1019.7,1015.0,7.0,7.0,14.4,23.6,NO,YES
45588,2007-11-02,CANBERRA,14.0,26.9,3.6,4.4,9.7,ENE,39.0,E,W,4.0,17.0,80.0,36.0,1012.4,1008.4,5.0,3.0,17.5,25.7,YES,YES
45589,2007-11-03,CANBERRA,13.7,23.4,3.6,5.8,3.3,NW,85.0,N,NNE,6.0,6.0,82.0,69.0,1009.5,1007.2,8.0,7.0,15.4,20.2,YES,YES
45590,2007-11-04,CANBERRA,13.3,15.5,39.8,7.2,9.1,NW,54.0,WNW,W,30.0,24.0,62.0,56.0,1005.5,1007.0,2.0,7.0,13.5,14.1,YES,YES
45591,2007-11-05,CANBERRA,7.6,16.1,2.8,5.6,10.6,SSE,50.0,SSE,ESE,20.0,28.0,68.0,49.0,1018.3,1018.5,7.0,7.0,11.1,15.4,YES,NO
45592,2007-11-06,CANBERRA,6.2,16.9,0.0,5.8,8.2,SE,44.0,SE,E,20.0,24.0,70.0,57.0,1023.8,1021.7,7.0,5.0,10.9,14.8,NO,NO
45593,2007-11-07,CANBERRA,6.1,18.2,0.2,4.2,8.4,SE,43.0,SE,ESE,19.0,26.0,63.0,47.0,1024.6,1022.2,4.0,6.0,12.4,17.3,NO,NO
45594,2007-11-08,CANBERRA,8.3,17.0,0.0,5.6,4.6,E,41.0,SE,E,11.0,24.0,65.0,57.0,1026.2,1024.2,6.0,7.0,12.1,15.5,NO,NO
45595,2007-11-09,CANBERRA,8.8,19.5,0.0,4.0,4.1,S,48.0,E,ENE,19.0,17.0,70.0,48.0,1026.1,1022.7,7.0,7.0,14.1,18.9,NO,YES
45596,2007-11-10,CANBERRA,8.4,22.8,16.2,5.4,7.7,E,31.0,S,ESE,7.0,6.0,82.0,32.0,1024.1,1020.7,7.0,1.0,13.3,21.7,YES,NO
45597,2007-11-11,CANBERRA,9.1,25.2,0.0,4.2,11.9,N,30.0,SE,NW,6.0,9.0,74.0,34.0,1024.4,1021.1,1.0,2.0,14.6,24.0,NO,NO
45598,2007-11-12,CANBERRA,8.5,27.3,0.2,7.2,12.5,E,41.0,E,NW,2.0,15.0,54.0,35.0,1023.8,1019.9,0.0,3.0,16.8,26.0,NO,NO
45599,2007-11-13,CANBERRA,10.1,27.9,0.0,7.2,13.0,WNW,30.0,S,NW,6.0,7.0,62.0,29.0,1022.0,1017.1,0.0,1.0,17.0,27.1,NO,NO
45600,2007-11-14,CANBERRA,12.1,30.9,0.0,6.2,12.4,NW,44.0,WNW,W,7.0,20.0,67.0,20.0,1017.3,1013.1,1.0,4.0,19.7,30.7,NO,NO
45601,2007-11-15,CANBERRA,10.1,31.2,0.0,8.8,13.1,NW,41.0,S,W,6.0,20.0,45.0,16.0,1018.2,1013.7,0.0,1.0,18.7,30.4,NO,NO
45602,2007-11-16,CANBERRA,12.4,32.1,0.0,8.4,11.1,E,46.0,SE,WSW,7.0,9.0,70.0,22.0,1017.9,1012.8,0.0,3.0,19.1,30.7,NO,NO
45603,2007-11-17,CANBERRA,13.8,31.2,0.0,7.2,8.4,ESE,44.0,WSW,W,6.0,19.0,72.0,23.0,1014.4,1009.8,7.0,6.0,20.2,29.8,NO,YES
45604,2007-11-18,CANBERRA,11.7,30.0,1.2,7.2,10.1,S,52.0,SW,NE,6.0,11.0,59.0,26.0,1016.4,1013.0,1.0,5.0,20.1,28.6,YES,NO
45605,2007-11-19,CANBERRA,12.4,32.3,0.6,7.4,13.0,E,39.0,NNE,W,4.0,17.0,60.0,25.0,1017.1,1013.3,1.0,3.0,20.2,31.2,NO,NO
45606,2007-11-20,CANBERRA,15.6,33.4,0.0,8.0,10.4,NE,33.0,NNW,NNW,2.0,13.0,61.0,27.0,1018.5,1013.7,0.0,1.0,22.8,32.0,NO,NO
45607,2007-11-21,CANBERRA,15.3,33.4,0.0,8.8,9.5,WNW,59.0,N,NW,2.0,31.0,60.0,26.0,1012.4,1006.5,1.0,5.0,22.2,32.8,NO,NO
45608,2007-11-22,CANBERRA,16.4,19.4,0.4,9.2,0.0,E,26.0,ENE,E,6.0,11.0,88.0,72.0,1010.7,1008.9,8.0,8.0,16.5,18.3,NO,YES
45609,2007-11-23,CANBERRA,12.8,18.5,25.8,2.8,0.6,ESE,28.0,S,SE,13.0,13.0,91.0,79.0,1014.0,1014.9,8.0,8.0,14.0,16.8,YES,NO
