,YEAR-MONTH,RAINFALL
0,1901-01-01,49.2
1,1901-02-01,87.1
2,1901-03-01,29.2
3,1901-04-01,2.3
4,1901-05-01,528.8
5,1901-06-01,517.5
6,1901-07-01,365.1
7,1901-08-01,481.1
8,1901-09-01,332.6
9,1901-10-01,388.5
10,1901-11-01,558.2
11,1901-12-01,33.6
12,1902-01-01,0.0
13,1902-02-01,159.8
14,1902-03-01,12.2
15,1902-04-01,0.0
16,1902-05-01,446.1
17,1902-06-01,537.1
18,1902-07-01,228.9
19,1902-08-01,753.7
20,1902-09-01,666.2
21,1902-10-01,197.2
22,1902-11-01,359.0
23,1902-12-01,160.5
24,1903-01-01,12.7
25,1903-02-01,144.0
26,1903-03-01,0.0
27,1903-04-01,1.0
28,1903-05-01,235.1
29,1903-06-01,479.9
30,1903-07-01,728.4
31,1903-08-01,326.7
32,1903-09-01,339.0
33,1903-10-01,181.2
34,1903-11-01,284.4
35,1903-12-01,225.0
36,1904-01-01,9.4
37,1904-02-01,14.7
38,1904-03-01,0.0
39,1904-04-01,202.4
40,1904-05-01,304.5
41,1904-06-01,495.1
42,1904-07-01,502.0
43,1904-08-01,160.1
44,1904-09-01,820.4
45,1904-10-01,222.2
46,1904-11-01,308.7
47,1904-12-01,40.1
48,1905-01-01,1.3
49,1905-02-01,0.0
50,1905-03-01,3.3
51,1905-04-01,26.9
52,1905-05-01,279.5
53,1905-06-01,628.7
54,1905-07-01,368.7
55,1905-08-01,330.5
56,1905-09-01,297.0
57,1905-10-01,260.7
58,1905-11-01,25.4
59,1905-12-01,344.7
60,1906-01-01,36.6
61,1906-02-01,0.0
62,1906-03-01,0.0
63,1906-04-01,0.0
64,1906-05-01,556.1
65,1906-06-01,733.3
66,1906-07-01,247.7
67,1906-08-01,320.5
68,1906-09-01,164.3
69,1906-10-01,267.8
70,1906-11-01,128.9
71,1906-12-01,79.2
72,1907-01-01,110.7
73,1907-02-01,0.0
74,1907-03-01,113.3
75,1907-04-01,21.6
76,1907-05-01,616.3
77,1907-06-01,305.2
78,1907-07-01,443.9
79,1907-08-01,377.6
80,1907-09-01,200.4
81,1907-10-01,264.4
82,1907-11-01,648.9
83,1907-12-01,245.6
84,1908-01-01,20.9
85,1908-02-01,85.1
86,1908-03-01,0.0
87,1908-04-01,29.0
88,1908-05-01,562.0
89,1908-06-01,693.6
90,1908-07-01,481.4
91,1908-08-01,699.9
92,1908-09-01,428.8
93,1908-10-01,170.7
94,1908-11-01,208.1
95,1908-12-01,196.9
96,1910-01-01,26.6
97,1910-02-01,22.7
98,1910-03-01,206.3
99,1910-04-01,89.3
100,1910-05-01,224.5
101,1910-06-01,472.7
102,1910-07-01,264.3
103,1910-08-01,337.4
104,1910-09-01,626.6
105,1910-10-01,208.2
106,1910-11-01,267.3
107,1910-12-01,153.5
108,1911-01-01,0.0
109,1911-02-01,8.4
110,1911-03-01,0.0
111,1911-04-01,122.5
112,1911-05-01,327.3
113,1911-06-01,649.0
114,1911-07-01,253.0
115,1911-08-01,187.1
116,1911-09-01,464.5
117,1911-10-01,333.8
118,1911-11-01,94.5
119,1911-12-01,247.1
120,1912-01-01,583.7
121,1912-02-01,0.8
122,1912-03-01,0.0
123,1912-04-01,21.9
124,1912-05-01,140.7
125,1912-06-01,549.8
126,1912-07-01,468.9
127,1912-08-01,370.3
128,1912-09-01,386.2
129,1912-10-01,318.7
130,1912-11-01,117.2
131,1912-12-01,2.3
132,1913-01-01,84.8
133,1913-02-01,0.5
134,1913-03-01,1.3
135,1913-04-01,2.5
136,1913-05-01,190.7
137,1913-06-01,530.0
138,1913-07-01,280.8
139,1913-08-01,205.8
140,1913-09-01,580.1
141,1913-10-01,288.8
142,1913-11-01,133.0
143,1913-12-01,67.5
144,1914-01-01,0.0
145,1914-02-01,0.0
146,1914-03-01,0.0
147,1914-04-01,37.7
148,1914-05-01,298.8
149,1914-06-01,383.3
150,1914-07-01,792.8
151,1914-08-01,520.5
152,1914-09-01,310.8
153,1914-10-01,139.8
154,1914-11-01,184.4
155,1914-12-01,289.7
156,1915-01-01,45.0
157,1915-02-01,56.7
158,1915-03-01,33.3
159,1915-04-01,40.9
160,1915-05-01,170.2
161,1915-06-01,334.7
162,1915-07-01,269.0
163,1915-08-01,317.2
164,1915-09-01,429.8
165,1915-10-01,468.1
166,1915-11-01,258.4
167,1915-12-01,318.0
168,1916-01-01,0.0
169,1916-02-01,0.0
170,1916-03-01,0.0
171,1916-04-01,0.5
172,1916-05-01,487.4
173,1916-06-01,450.1
174,1916-07-01,317.3
175,1916-08-01,425.0
176,1916-09-01,561.2
177,1916-10-01,369.7
178,1916-11-01,192.6
179,1916-12-01,133.7
180,1917-01-01,8.0
181,1917-02-01,3.6
182,1917-03-01,112.0
183,1917-04-01,4.5
184,1917-05-01,295.9
185,1917-06-01,301.1
186,1917-07-01,394.8
187,1917-08-01,437.4
188,1917-09-01,471.8
189,1917-10-01,238.1
190,1917-11-01,108.3
191,1917-12-01,236.9
192,1918-01-01,77.4
193,1918-02-01,6.9
194,1918-03-01,11.4
195,1918-04-01,10.7
196,1918-05-01,729.3
197,1918-06-01,710.8
198,1918-07-01,200.9
199,1918-08-01,455.4
200,1918-09-01,303.3
201,1918-10-01,227.0
202,1918-11-01,366.9
203,1918-12-01,175.0
204,1919-01-01,10.2
205,1919-02-01,18.0
206,1919-03-01,0.0
207,1919-04-01,35.5
