,YEAR-MONTH,RAINFALL
768,1970-01-01,72.2
769,1970-02-01,34.0
770,1970-03-01,7.8
771,1970-04-01,58.2
772,1970-05-01,422.7
773,1970-06-01,407.3
774,1970-07-01,564.6
775,1970-08-01,342.9
776,1970-09-01,423.5
777,1970-10-01,386.6
778,1970-11-01,418.4
779,1970-12-01,232.7
780,1971-01-01,41.5
781,1971-02-01,32.8
782,1971-03-01,37.7
783,1971-04-01,35.3
784,1971-05-01,398.0
785,1971-06-01,394.6
786,1971-07-01,421.1
787,1971-08-01,327.9
788,1971-09-01,470.2
789,1971-10-01,505.3
790,1971-11-01,178.4
791,1971-12-01,155.9
792,1972-01-01,13.7
793,1972-02-01,1.7
794,1972-03-01,7.5
795,1972-04-01,178.3
796,1972-05-01,420.2
797,1972-06-01,470.0
798,1972-07-01,544.6
799,1972-08-01,384.9
800,1972-09-01,444.5
801,1972-10-01,263.8
802,1972-11-01,413.9
803,1972-12-01,180.0
804,1973-01-01,18.1
805,1973-02-01,20.3
806,1973-03-01,30.5
807,1973-04-01,29.6
808,1973-05-01,418.6
809,1973-06-01,488.6
810,1973-07-01,371.4
811,1973-08-01,370.3
812,1973-09-01,357.5
813,1973-10-01,247.2
814,1973-11-01,349.8
815,1973-12-01,289.1
816,1974-01-01,22.2
817,1974-02-01,43.9
818,1974-03-01,17.2
819,1974-04-01,301.4
820,1974-05-01,353.3
821,1974-06-01,343.8
822,1974-07-01,257.1
823,1974-08-01,456.2
824,1974-09-01,321.6
825,1974-10-01,398.4
826,1974-11-01,372.2
827,1974-12-01,74.8
828,1975-01-01,276.9
829,1975-02-01,27.5
830,1975-03-01,8.0
831,1975-04-01,24.2
832,1975-05-01,362.9
833,1975-06-01,706.3
834,1975-07-01,173.6
835,1975-08-01,357.4
836,1975-09-01,351.8
837,1975-10-01,373.6
838,1975-11-01,323.7
839,1975-12-01,99.7
840,1976-01-01,20.9
841,1976-02-01,9.7
842,1976-03-01,0.6
843,1976-04-01,161.6
844,1976-05-01,551.4
845,1976-06-01,441.4
846,1976-07-01,382.1
847,1976-08-01,487.7
848,1976-09-01,387.0
849,1976-10-01,166.8
850,1976-11-01,307.2
851,1976-12-01,359.6
852,1977-01-01,79.7
853,1977-02-01,43.2
854,1977-03-01,6.1
855,1977-04-01,6.9
856,1977-05-01,275.3
857,1977-06-01,339.3
858,1977-07-01,341.1
859,1977-08-01,345.5
860,1977-09-01,467.1
861,1977-10-01,263.6
862,1977-11-01,153.3
863,1977-12-01,67.1
864,1978-01-01,109.6
865,1978-02-01,29.3
866,1978-03-01,18.9
867,1978-04-01,63.4
868,1978-05-01,343.6
869,1978-06-01,462.2
870,1978-07-01,656.6
871,1978-08-01,346.3
872,1978-09-01,310.8
873,1978-10-01,243.7
874,1978-11-01,83.4
875,1978-12-01,44.6
876,1979-01-01,35.5
877,1979-02-01,9.4
878,1979-03-01,3.9
879,1979-04-01,64.8
880,1979-05-01,146.3
881,1979-06-01,282.8
882,1979-07-01,455.9
883,1979-08-01,173.6
884,1979-09-01,330.2
885,1979-10-01,163.5
886,1979-11-01,169.8
887,1979-12-01,13.6
888,1980-01-01,5.5
889,1980-02-01,0.8
890,1980-03-01,9.2
891,1980-04-01,38.8
892,1980-05-01,728.4
893,1980-06-01,604.2
894,1980-07-01,575.7
895,1980-08-01,494.4
896,1980-09-01,271.9
897,1980-10-01,252.0
898,1980-11-01,143.7
899,1980-12-01,500.7
900,1981-01-01,11.1
901,1981-02-01,27.8
902,1981-03-01,1.7
903,1981-04-01,94.1
904,1981-05-01,270.8
905,1981-06-01,600.6
906,1981-07-01,344.1
907,1981-08-01,510.7
908,1981-09-01,452.6
909,1981-10-01,242.1
910,1981-11-01,348.4
911,1981-12-01,170.7
912,1982-01-01,8.8
913,1982-02-01,2.8
914,1982-03-01,6.6
915,1982-04-01,97.5
916,1982-05-01,229.2
917,1982-06-01,448.7
918,1982-07-01,410.5
919,1982-08-01,347.6
920,1982-09-01,369.0
921,1982-10-01,164.5
922,1982-11-01,238.8
923,1982-12-01,60.5
924,1983-01-01,22.1
925,1983-02-01,0.0
926,1983-03-01,3.1
927,1983-04-01,9.1
928,1983-05-01,240.8
929,1983-06-01,424.3
930,1983-07-01,468.9
931,1983-08-01,493.8
932,1983-09-01,505.5
933,1983-10-01,275.8
934,1983-11-01,261.0
935,1983-12-01,88.1
936,1984-01-01,69.4
937,1984-02-01,173.8
938,1984-03-01,26.3
939,1984-04-01,156.6
940,1984-05-01,162.3
941,1984-06-01,424.9
942,1984-07-01,446.4
943,1984-08-01,125.8
944,1984-09-01,283.6
945,1984-10-01,347.1
946,1984-11-01,158.9
947,1984-12-01,445.2
948,1985-01-01,12.0
949,1985-02-01,19.2
950,1985-03-01,24.1
951,1985-04-01,55.0
952,1985-05-01,278.1
953,1985-06-01,588.4
954,1985-07-01,230.9
955,1985-08-01,375.2
956,1985-09-01,362.5
957,1985-10-01,358.9
958,1985-11-01,232.1
959,1985-12-01,94.4
960,1986-01-01,14.8
961,1986-02-01,0.6
962,1986-03-01,1.5
963,1986-04-01,8.2
964,1986-05-01,302.6
965,1986-06-01,312.2
966,1986-07-01,308.5
967,1986-08-01,444.0
968,1986-09-01,408.9
969,1986-10-01,176.1
970,1986-11-01,163.5
971,1986-12-01,47.0
972,1987-01-01,72.4
973,1987-02-01,35.2
974,1987-03-01,20.4
975,1987-04-01,17.7
976,1987-05-01,162.9
977,1987-06-01,343.7
978,1987-07-01,45.3
979,1987-08-01,666.5
980,1987-09-01,378.9
981,1987-10-01,373.4
982,1987-11-01,313.4
983,1987-12-01,334.1
984,1988-01-01,10.2
985,1988-02-01,39.9
986,1988-03-01,28.0
987,1988-04-01,82.7
988,1988-05-01,427.5
989,1988-06-01,357.4
990,1988-07-01,495.6
991,1988-08-01,354.2
992,1988-09-01,603.3
993,1988-10-01,271.4
994,1988-11-01,583.0
995,1988-12-01,69.9
996,1989-01-01,56.0
997,1989-02-01,12.8
998,1989-03-01,68.1
999,1989-04-01,42.6
1000,1989-05-01,379.3
1001,1989-06-01,414.9
1002,1989-07-01,380.1
1003,1989-08-01,413.2
1004,1989-09-01,215.9
1005,1989-10-01,291.8
1006,1989-11-01,255.0
1007,1989-12-01,4.0
1008,1990-01-01,13.4
1009,1990-02-01,0.2
1010,1990-03-01,24.6
1011,1990-04-01,87.5
1012,1990-05-01,424.6
1013,1990-06-01,291.0
1014,1990-07-01,213.2
1015,1990-08-01,293.3
1016,1990-09-01,310.4
1017,1990-10-01,133.6
1018,1990-11-01,291.1
1019,1990-12-01,100.3
1020,1991-01-01,14.1
1021,1991-02-01,3.8
1022,1991-03-01,28.0
1023,1991-04-01,132.9
1024,1991-05-01,191.3
1025,1991-06-01,165.7
1026,1991-07-01,547.2
1027,1991-08-01,486.5
1028,1991-09-01,489.9
1029,1991-10-01,287.6
1030,1991-11-01,130.1
1031,1991-12-01,58.5
1032,1992-01-01,75.9
1033,1992-02-01,10.9
1034,1992-03-01,0.0
1035,1992-04-01,5.1
1036,1992-05-01,241.7
1037,1992-06-01,392.0
1038,1992-07-01,348.2
1039,1992-08-01,372.3
1040,1992-09-01,323.7
1041,1992-10-01,257.3
1042,1992-11-01,64.3
1043,1992-12-01,7.2
1044,1993-01-01,14.9
1045,1993-02-01,0.0
1046,1993-03-01,129.9
1047,1993-04-01,43.7
1048,1993-05-01,181.4
1049,1993-06-01,257.1
1050,1993-07-01,391.7
1051,1993-08-01,226.7
1052,1993-09-01,437.0
1053,1993-10-01,299.3
1054,1993-11-01,189.0
1055,1993-12-01,66.7
1056,1994-01-01,7.2
1057,1994-02-01,35.5
1058,1994-03-01,129.4
1059,1994-04-01,154.6
1060,1994-05-01,403.2
1061,1994-06-01,386.3
1062,1994-07-01,569.7
1063,1994-08-01,460.5
1064,1994-09-01,775.1
1065,1994-10-01,137.5
1066,1994-11-01,180.3
1067,1994-12-01,23.8
1068,1995-01-01,51.8
1069,1995-02-01,12.5
1070,1995-03-01,12.1
1071,1995-04-01,21.1
1072,1995-05-01,314.8
1073,1995-06-01,450.4
1074,1995-07-01,501.4
1075,1995-08-01,555.8
1076,1995-09-01,426.4
1077,1995-10-01,294.7
1078,1995-11-01,452.9
1079,1995-12-01,21.6
1080,1996-01-01,52.2
1081,1996-02-01,4.8
1082,1996-03-01,3.4
1083,1996-04-01,122.7
1084,1996-05-01,298.0
1085,1996-06-01,559.2
1086,1996-07-01,335.5
1087,1996-08-01,328.0
1088,1996-09-01,541.6
1089,1996-10-01,318.5
1090,1996-11-01,254.2
1091,1996-12-01,178.8
1092,1997-01-01,9.5
1093,1997-02-01,0.0
1094,1997-03-01,0.2
1095,1997-04-01,15.6
1096,1997-05-01,281.1
1097,1997-06-01,199.5
1098,1997-07-01,918.5
1099,1997-08-01,430.6
1100,1997-09-01,440.2
1101,1997-10-01,128.7
1102,1997-11-01,292.8
1103,1997-12-01,38.4
1104,1998-01-01,0.9
