,YEAR-MONTH,COASTAL KARNATAKA,KERALA,RAYALSEEMA,SOUTH INTERIOR KARNATAKA,TAMIL NADU
0,1901-APR,52.4,160.0,12.1,32.7,36.0
1,1901-AUG,606.4,357.5,60.3,109.2,67.9
2,1901-DEC,17.8,48.4,91.3,12.3,80.4
3,1901-FEB,0.6,44.7,50.2,31.8,39.1
4,1901-JAN,1.8,28.7,7.0,4.9,24.5
5,1901-JUL,991.2,743.0,73.4,210.0,49.3
6,1901-JUN,960.9,824.6,53.0,106.0,41.8
7,1901-MAR,10.7,51.6,0.0,3.0,21.7
8,1901-MAY,81.6,174.7,38.9,109.6,74.0
9,1901-NOV,104.9,350.8,137.2,72.5,212.3
10,1901-OCT,120.5,266.9,81.6,170.1,122.3
11,1901-SEP,108.0,197.7,109.0,140.8,191.1
12,1902-APR,10.2,83.9,11.0,42.6,21.9
13,1902-AUG,454.2,315.8,148.3,82.1,113.8
14,1902-DEC,132.2,121.5,36.4,84.9,165.8
15,1902-FEB,0.3,2.6,0.2,0.5,9.8
16,1902-JAN,3.2,6.7,10.0,1.9,67.2
17,1902-JUL,1401.6,1205.0,41.3,210.0,55.1
18,1902-JUN,698.4,390.9,73.6,91.7,39.3
19,1902-MAR,4.9,57.3,1.7,6.7,25.1
20,1902-MAY,54.6,134.5,36.8,97.7,84.7
21,1902-NOV,50.8,158.3,88.9,44.6,174.9
22,1902-OCT,180.4,358.4,188.5,219.1,282.2
23,1902-SEP,708.4,491.6,181.7,138.4,98.6
24,1903-APR,4.1,83.6,3.6,11.6,18.2
25,1903-AUG,593.8,420.2,140.6,155.7,115.0
26,1903-DEC,5.3,59.0,84.0,24.1,203.2
27,1903-FEB,0.0,18.6,0.1,0.0,7.8
28,1903-JAN,0.7,3.2,30.0,0.3,19.3
29,1903-JUL,1405.5,1022.5,127.5,284.4,72.6
30,1903-JUN,536.5,558.6,67.5,129.7,58.5
31,1903-MAR,0.0,3.1,0.0,1.1,1.7
32,1903-MAY,202.8,249.7,80.5,125.1,128.5
33,1903-NOV,79.3,157.0,289.4,186.6,200.5
34,1903-OCT,185.0,354.1,95.3,154.2,128.1
35,1903-SEP,304.4,341.8,219.7,197.1,210.4
36,1904-APR,23.7,71.5,7.1,43.5,19.5
37,1904-AUG,465.6,351.8,19.4,73.2,40.4
38,1904-DEC,0.0,3.3,16.1,0.3,49.1
39,1904-FEB,0.0,3.0,0.0,0.5,0.1
40,1904-JAN,2.4,23.7,14.8,1.0,35.2
41,1904-JUL,1070.0,725.5,75.1,197.1,89.0
42,1904-JUN,1108.2,1098.2,39.8,167.9,34.9
43,1904-MAR,4.8,32.2,1.7,5.2,0.7
44,1904-MAY,93.2,235.7,58.8,144.7,121.9
45,1904-NOV,0.7,33.9,4.4,2.5,23.6
46,1904-OCT,127.2,328.1,111.5,120.4,163.2
47,1904-SEP,245.3,222.7,84.7,89.6,85.7
48,1905-APR,6.4,105.9,18.3,23.6,64.8
49,1905-AUG,586.9,293.6,219.3,140.6,101.8
50,1905-DEC,0.0,0.2,2.0,0.3,3.2
51,1905-FEB,0.2,22.3,6.8,7.9,7.5
52,1905-JAN,0.0,1.2,6.5,1.7,6.5
53,1905-JUL,777.3,520.5,50.9,148.4,39.0
54,1905-JUN,767.3,850.2,66.1,95.9,49.8
55,1905-MAR,0.0,9.4,17.0,14.2,17.2
56,1905-MAY,83.1,263.3,44.2,118.6,83.7
57,1905-NOV,36.1,74.4,55.4,22.4,123.7
58,1905-OCT,222.2,383.5,180.2,142.8,250.4
59,1905-SEP,172.9,217.2,36.5,43.1,73.5
60,1906-APR,0.5,59.4,2.1,4.8,8.5
61,1906-AUG,535.0,442.8,154.4,256.3,195.2
62,1906-DEC,56.8,86.0,132.2,52.6,127.7
63,1906-FEB,0.0,7.4,7.2,1.5,12.9
64,1906-JAN,23.0,26.7,115.3,14.1,52.4
65,1906-JUL,1173.4,954.2,127.9,211.3,76.0
66,1906-JUN,593.6,414.9,84.1,116.4,43.6
67,1906-MAR,0.0,9.9,6.8,2.2,17.0
68,1906-MAY,29.8,160.8,9.6,46.1,39.6
69,1906-NOV,22.1,163.1,35.0,16.5,189.1
70,1906-OCT,128.5,251.7,107.7,173.4,162.8
71,1906-SEP,273.3,131.2,130.4,109.5,65.3
72,1907-APR,91.3,170.8,82.5,84.7,78.9
73,1907-AUG,1026.1,981.5,34.3,219.4,58.2
74,1907-DEC,9.8,52.8,58.0,14.1,63.2
75,1907-FEB,0.0,4.8,0.0,0.0,1.2
76,1907-JAN,7.0,18.8,1.1,4.5,8.4
77,1907-JUL,1166.3,760.4,100.5,231.5,70.4
78,1907-JUN,845.9,770.9,50.5,137.4,46.1
79,1907-MAR,2.7,55.7,6.5,11.7,25.0
80,1907-MAY,19.0,101.4,8.6,46.5,56.6
81,1907-NOV,55.8,219.1,140.7,49.5,200.0
82,1907-OCT,87.7,309.7,60.0,52.6,160.4
83,1907-SEP,223.6,225.0,97.7,146.5,117.2
84,1908-APR,46.1,102.9,5.5,44.4,24.5
85,1908-AUG,766.6,352.9,45.5,118.1,48.4
86,1908-DEC,0.0,11.0,6.8,0.5,20.1
87,1908-FEB,3.1,20.8,4.3,2.4,36.9
88,1908-JAN,0.0,8.0,5.7,8.3,16.8
89,1908-JUL,1904.9,902.2,65.0,263.6,37.5
90,1908-JUN,708.6,592.6,36.2,92.2,34.2
91,1908-MAR,0.9,38.2,4.7,9.3,25.0
92,1908-MAY,38.0,142.6,41.2,92.5,70.3
93,1908-NOV,2.5,47.9,27.9,1.2,36.1
94,1908-OCT,56.8,253.3,151.8,69.6,261.0
95,1908-SEP,128.0,175.9,222.6,88.0,154.2
96,1909-APR,6.3,93.8,42.2,42.1,68.6
97,1909-AUG,315.6,258.0,290.1,190.5,206.6
98,1909-DEC,3.2,32.3,0.3,9.7,20.8
99,1909-FEB,1.0,11.8,0.0,1.2,11.2
100,1909-JAN,4.0,54.1,89.2,19.8,116.5
101,1909-JUL,1285.6,782.3,61.5,245.5,36.1
102,1909-JUN,943.1,704.7,34.8,138.9,30.8
103,1909-MAR,3.7,61.3,0.0,6.7,7.7
104,1909-MAY,200.1,473.2,105.4,166.6,117.4
105,1909-NOV,47.8,171.1,12.8,35.8,74.7
106,1909-OCT,68.8,212.1,29.4,121.5,158.0
107,1909-SEP,293.8,195.4,205.0,109.0,106.1
108,1910-APR,6.2,124.5,13.1,27.0,26.8
109,1910-AUG,651.2,473.8,188.2,232.6,142.0
110,1910-DEC,0.0,0.1,0.0,0.0,0.6
111,1910-FEB,0.0,25.7,2.1,1.1,21.2
112,1910-JAN,0.0,2.7,0.6,0.0,9.2
113,1910-JUL,589.5,484.1,197.9,254.1,148.1
114,1910-JUN,1042.2,680.0,46.5,124.9,51.5
115,1910-MAR,5.0,23.3,0.7,7.5,2.4
116,1910-MAY,40.2,148.8,33.3,89.8,64.7
117,1910-NOV,67.0,280.4,148.4,77.0,146.7
118,1910-OCT,177.8,356.6,205.1,219.6,278.0
119,1910-SEP,441.7,248.6,165.3,123.5,52.4
120,1911-APR,3.2,51.0,20.9,28.8,30.8
121,1911-AUG,538.3,178.6,47.5,84.0,28.9
122,1911-DEC,17.5,87.6,35.9,7.9,130.1
123,1911-FEB,0.0,4.3,0.0,0.1,1.1
124,1911-JAN,0.0,3.0,0.0,0.8,2.8
125,1911-JUL,830.1,705.3,73.6,225.7,50.3
126,1911-JUN,749.5,990.0,54.0,174.8,70.7
