,SUBDIVISION,YEAR-MONTH,RAINFALL
0,ANDAMAN & NICOBAR ISLANDS,1901-JAN,49.2
1,ANDAMAN & NICOBAR ISLANDS,1901-FEB,87.1
2,ANDAMAN & NICOBAR ISLANDS,1901-MAR,29.2
3,ANDAMAN & NICOBAR ISLANDS,1901-APR,2.3
4,ANDAMAN & NICOBAR ISLANDS,1901-MAY,528.8
5,ANDAMAN & NICOBAR ISLANDS,1901-JUN,517.5
6,ANDAMAN & NICOBAR ISLANDS,1901-JUL,365.1
7,ANDAMAN & NICOBAR ISLANDS,1901-AUG,481.1
8,ANDAMAN & NICOBAR ISLANDS,1901-SEP,332.6
9,ANDAMAN & NICOBAR ISLANDS,1901-OCT,388.5
10,ANDAMAN & NICOBAR ISLANDS,1901-NOV,558.2
11,ANDAMAN & NICOBAR ISLANDS,1901-DEC,33.6
12,ANDAMAN & NICOBAR ISLANDS,1902-JAN,0
13,ANDAMAN & NICOBAR ISLANDS,1902-FEB,159.8
14,ANDAMAN & NICOBAR ISLANDS,1902-MAR,12.2
15,ANDAMAN & NICOBAR ISLANDS,1902-APR,0
16,ANDAMAN & NICOBAR ISLANDS,1902-MAY,446.1
17,ANDAMAN & NICOBAR ISLANDS,1902-JUN,537.1
18,ANDAMAN & NICOBAR ISLANDS,1902-JUL,228.9
19,ANDAMAN & NICOBAR ISLANDS,1902-AUG,753.7
20,ANDAMAN & NICOBAR ISLANDS,1902-SEP,666.2
21,ANDAMAN & NICOBAR ISLANDS,1902-OCT,197.2
22,ANDAMAN & NICOBAR ISLANDS,1902-NOV,359
23,ANDAMAN & NICOBAR ISLANDS,1902-DEC,160.5
24,ANDAMAN & NICOBAR ISLANDS,1903-JAN,12.7
25,ANDAMAN & NICOBAR ISLANDS,1903-FEB,144
26,ANDAMAN & NICOBAR ISLANDS,1903-MAR,0
27,ANDAMAN & NICOBAR ISLANDS,1903-APR,1
28,ANDAMAN & NICOBAR ISLANDS,1903-MAY,235.1
29,ANDAMAN & NICOBAR ISLANDS,1903-JUN,479.9
30,ANDAMAN & NICOBAR ISLANDS,1903-JUL,728.4
31,ANDAMAN & NICOBAR ISLANDS,1903-AUG,326.7
32,ANDAMAN & NICOBAR ISLANDS,1903-SEP,339
33,ANDAMAN & NICOBAR ISLANDS,1903-OCT,181.2
34,ANDAMAN & NICOBAR ISLANDS,1903-NOV,284.4
35,ANDAMAN & NICOBAR ISLANDS,1903-DEC,225
36,ANDAMAN & NICOBAR ISLANDS,1904-JAN,9.4
37,ANDAMAN & NICOBAR ISLANDS,1904-FEB,14.7
38,ANDAMAN & NICOBAR ISLANDS,1904-MAR,0
39,ANDAMAN & NICOBAR ISLANDS,1904-APR,202.4
40,ANDAMAN & NICOBAR ISLANDS,1904-MAY,304.5
41,ANDAMAN & NICOBAR ISLANDS,1904-JUN,495.1
42,ANDAMAN & NICOBAR ISLANDS,1904-JUL,502
43,ANDAMAN & NICOBAR ISLANDS,1904-AUG,160.1
44,ANDAMAN & NICOBAR ISLANDS,1904-SEP,820.4
45,ANDAMAN & NICOBAR ISLANDS,1904-OCT,222.2
46,ANDAMAN & NICOBAR ISLANDS,1904-NOV,308.7
47,ANDAMAN & NICOBAR ISLANDS,1904-DEC,40.1
48,ANDAMAN & NICOBAR ISLANDS,1905-JAN,1.3
49,ANDAMAN & NICOBAR ISLANDS,1905-FEB,0
50,ANDAMAN & NICOBAR ISLANDS,1905-MAR,3.3
51,ANDAMAN & NICOBAR ISLANDS,1905-APR,26.9
52,ANDAMAN & NICOBAR ISLANDS,1905-MAY,279.5
53,ANDAMAN & NICOBAR ISLANDS,1905-JUN,628.7
54,ANDAMAN & NICOBAR ISLANDS,1905-JUL,368.7
55,ANDAMAN & NICOBAR ISLANDS,1905-AUG,330.5
56,ANDAMAN & NICOBAR ISLANDS,1905-SEP,297
57,ANDAMAN & NICOBAR ISLANDS,1905-OCT,260.7
58,ANDAMAN & NICOBAR ISLANDS,1905-NOV,25.4
