,YEAR-MONTH,RAINFALL
0,1901-01-01,55.7
1,1901-02-01,50.1
2,1901-03-01,25.2
3,1901-04-01,2.1
4,1901-05-01,25.2
5,1901-06-01,10.4
6,1901-07-01,178.2
7,1901-08-01,145.0
8,1901-09-01,24.4
9,1901-10-01,3.7
10,1901-12-01,3.3
11,1902-02-01,0.8
12,1902-03-01,9.9
13,1902-04-01,10.9
14,1902-05-01,29.6
15,1902-06-01,49.9
16,1902-07-01,125.6
17,1902-08-01,94.9
18,1902-09-01,67.2
19,1902-10-01,9.0
20,1902-12-01,0.1
21,1903-01-01,29.5
22,1903-02-01,0.5
23,1903-03-01,45.0
24,1903-04-01,1.3
25,1903-05-01,9.2
26,1903-06-01,5.2
27,1903-07-01,212.2
28,1903-08-01,119.1
29,1903-09-01,132.5
30,1903-10-01,6.9
31,1903-12-01,9.5
32,1904-01-01,24.2
33,1904-02-01,1.7
34,1904-03-01,87.8
35,1904-04-01,1.2
36,1904-05-01,13.8
37,1904-06-01,22.0
38,1904-07-01,59.9
39,1904-08-01,124.0
40,1904-09-01,73.8
41,1904-10-01,7.4
42,1904-11-01,9.8
43,1904-12-01,25.9
44,1905-01-01,53.0
45,1905-02-01,40.3
46,1905-03-01,24.3
47,1905-04-01,0.5
48,1905-05-01,2.2
49,1905-06-01,19.2
50,1905-07-01,122.6
51,1905-08-01,50.3
52,1905-09-01,111.1
53,1905-10-01,1.2
54,1905-12-01,9.4
55,1906-01-01,5.3
56,1906-02-01,83.1
57,1906-03-01,50.5
58,1906-04-01,1.5
59,1906-05-01,4.7
60,1906-06-01,38.3
61,1906-07-01,99.4
62,1906-08-01,190.5
63,1906-09-01,181.5
64,1906-10-01,0.5
65,1906-12-01,22.2
66,1907-01-01,27.3
67,1907-02-01,95.4
68,1907-03-01,53.1
69,1907-04-01,50.7
70,1907-05-01,3.3
71,1907-06-01,20.2
72,1907-07-01,82.8
73,1907-08-01,249.0
74,1907-09-01,6.8
75,1907-10-01,0.4
76,1908-01-01,46.9
77,1908-02-01,11.8
78,1908-03-01,0.3
79,1908-04-01,31.3
80,1908-05-01,12.1
81,1908-06-01,13.0
82,1908-07-01,183.8
83,1908-08-01,399.1
84,1908-09-01,37.3
85,1908-10-01,1.2
86,1908-11-01,1.7
87,1908-12-01,2.0
88,1909-01-01,34.0
89,1909-02-01,21.0
90,1909-03-01,0.2
91,1909-04-01,48.6
92,1909-05-01,1.8
93,1909-06-01,81.3
94,1909-07-01,240.9
95,1909-08-01,178.7
96,1909-09-01,197.2
97,1909-10-01,1.5
98,1909-12-01,40.5
99,1910-01-01,27.1
100,1910-02-01,5.6
101,1910-03-01,1.1
102,1910-04-01,2.7
103,1910-05-01,1.4
104,1910-06-01,111.4
105,1910-07-01,143.9
106,1910-08-01,217.9
107,1910-09-01,79.5
108,1910-10-01,21.0
109,1910-12-01,4.8
110,1911-01-01,112.1
111,1911-02-01,7.3
112,1911-03-01,108.5
