program,Age,Gender,Civil State,District,Work Experience,OL-A,OL-B,OL-C,OL-S,AL stream,AL-A,AL-B,AL-C,AL-S
Bachelor of Technology - Electronic and Communication Engineering,23,Male,Married,Colombo,2-3 years,1,7,1,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,24,Male,Single,Vavuniya,0-1 years,5,1,0,3,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours - Agriculture,19,Male,Married,Kandy,More than 3 years,8,0,1,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechatronics Engineering,19,Female,Single,Gampaha,2-3 years,1,1,2,5,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,22,Female,Married,Hambantota,No experience,7,2,0,0,Mathematics,0,2,0,1
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Male,Married,Gampaha,No experience,2,3,4,0,Mathematics,1,1,1,0
Bachelor of Technology - Computer Engineering,22,Female,Single,Gampaha,2-3 years,6,0,1,2,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Fashion Design and Product Development,22,Male,Married,Gampaha,No experience,9,0,0,0,Mathematics,2,0,1,0
Bachelor of Industrial Studies Honours - Agriculture,23,Female,Married,Colombo,2-3 years,9,0,0,0,Mathematics,2,1,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Single,Kandy,No experience,3,2,0,4,Mathematics,2,0,1,0
Bachelor of Technology - Electrical Engineering,21,Female,Married,Gampaha,2-3 years,8,0,0,1,Mathematics,2,0,0,1
Bachelor of Technology - Mechatronics Engineering,26,Male,Married,Colombo,2-3 years,2,3,3,1,Mathematics,3,0,0,0
Bachelor of Technology - Electrical Engineering,26,Female,Single,Kandy,More than 3 years,0,3,2,4,Mathematics,2,0,1,0
Bachelor of Software Engineering Honours,26,Female,Single,Kandy,No experience,4,4,1,0,Mathematics,0,3,0,0
Bachelor of Technology - Electrical Engineering,20,Male,Married,Colombo,No experience,7,1,1,0,Mathematics,0,3,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,22,Male,Married,Colombo,More than 3 years,6,1,2,0,Mathematics,1,0,0,2
Bachelor of Technology Honours in Engineering – Textile & Clothing,24,Female,Single,Kandy,1-2 years,4,4,1,0,CommerceArts,0,1,1,1
Bachelor of Technology (BTech) Honours in Agriculture and Plantation Engineering,23,Male,Single,Nuwara Eliya,0-1 years,5,1,3,0,Mathematics,1,2,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,25,Female,Married,Kandy,No experience,6,2,1,0,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Apparel Production and Management,20,Female,Married,Kilinochchi,No experience,8,1,0,0,Mathematics,3,0,0,0
Bachelor of Technology - Mechanical Engineering,24,Female,Married,Galle,More than 3 years,2,7,0,0,Mathematics,0,0,0,3
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,26,Male,Single,Kilinochchi,0-1 years,7,1,0,1,Mathematics,3,0,0,0
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Married,Kandy,1-2 years,4,0,2,3,Mathematics,1,0,1,1
Bachelor of Industrial Studies Honours – Textile Manufacture Specialization,23,Male,Married,Gampaha,No experience,1,0,3,5,Biology,0,1,2,0
