,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
0,oversize-light-blue-tshirt,Oversize Light Blue Tshirt,Style Size,XS,,,,,ZZ09784-XS,,,Shop location,0,0,1,0,1
1,oversize-light-blue-tshirt,Oversize Light Blue Tshirt,Style Size,S,,,,,ZZ09784-S,,,Shop location,0,0,0,0,0
2,oversize-light-blue-tshirt,Oversize Light Blue Tshirt,Style Size,M,,,,,ZZ09784-M,,,Shop location,0,0,4,0,4
3,oversize-light-blue-tshirt,Oversize Light Blue Tshirt,Style Size,L,,,,,ZZ09784-L,,,Shop location,0,0,0,0,0
4,oversize-light-blue-tshirt,Oversize Light Blue Tshirt,Style Size,XL,,,,,ZZ09784-XL,,,Shop location,0,0,0,0,0
5,oversize-pink-stay-groovy-tshirt,Oversize Pink Stay Groovy Tshirt,Style Size,XS,,,,,ZZ09787-XS,,,Shop location,0,0,1,0,1
6,oversize-pink-stay-groovy-tshirt,Oversize Pink Stay Groovy Tshirt,Style Size,S,,,,,ZZ09787-S,,,Shop location,0,0,0,0,0
7,oversize-pink-stay-groovy-tshirt,Oversize Pink Stay Groovy Tshirt,Style Size,M,,,,,ZZ09787-M,,,Shop location,0,0,0,3,3
8,oversize-pink-stay-groovy-tshirt,Oversize Pink Stay Groovy Tshirt,Style Size,L,,,,,ZZ09787-L,,,Shop location,0,0,1,1,2
9,oversize-pink-stay-groovy-tshirt,Oversize Pink Stay Groovy Tshirt,Style Size,XL,,,,,ZZ09787-XL,,,Shop location,0,0,0,2,2
10,oversize-pink-tshirt,Oversize Pink Tshirt,Style Size,XS,,,,,ZZ09781-XS,,,Shop location,0,0,1,0,1
11,oversize-pink-tshirt,Oversize Pink Tshirt,Style Size,S,,,,,ZZ09781-S,,,Shop location,0,0,2,0,2
12,oversize-pink-tshirt,Oversize Pink Tshirt,Style Size,M,,,,,ZZ09781-M,,,Shop location,0,0,4,0,4
13,oversize-pink-tshirt,Oversize Pink Tshirt,Style Size,L,,,,,ZZ09781-L,,,Shop location,0,0,0,0,0
14,oversize-pink-tshirt,Oversize Pink Tshirt,Style Size,XL,,,,,ZZ09781-XL,,,Shop location,0,0,0,-1,-1
15,oversize-tipsy-red-tshirt,Oversize Tipsy Red Tshirt,Style Size,XS,,,,,ZZ09788-XS,,,Shop location,0,0,0,0,0
16,oversize-tipsy-red-tshirt,Oversize Tipsy Red Tshirt,Style Size,S,,,,,ZZ09788-S,,,Shop location,0,0,0,0,0
17,oversize-tipsy-red-tshirt,Oversize Tipsy Red Tshirt,Style Size,M,,,,,ZZ09788-M,,,Shop location,0,0,0,5,5
18,oversize-tipsy-red-tshirt,Oversize Tipsy Red Tshirt,Style Size,L,,,,,ZZ09788-L,,,Shop location,0,0,2,0,2
19,oversize-tipsy-red-tshirt,Oversize Tipsy Red Tshirt,Style Size,XL,,,,,ZZ09788-XL,,,Shop location,0,0,0,0,0
20,sorry-im-late-oversize-gray-tshirt,Sorry I'm Late Oversize Gray Tshirt,Style Size,XS,,,,,ZZ09780-XS,,,Shop location,0,0,0,2,2
21,sorry-im-late-oversize-gray-tshirt,Sorry I'm Late Oversize Gray Tshirt,Style Size,S,,,,,ZZ09780-S,,,Shop location,0,0,0,5,5
22,sorry-im-late-oversize-gray-tshirt,Sorry I'm Late Oversize Gray Tshirt,Style Size,M,,,,,ZZ09780-M,,,Shop location,0,0,0,6,6
23,sorry-im-late-oversize-gray-tshirt,Sorry I'm Late Oversize Gray Tshirt,Style Size,L,,,,,ZZ09780-L,,,Shop location,0,0,0,5,5
24,sorry-im-late-oversize-gray-tshirt,Sorry I'm Late Oversize Gray Tshirt,Style Size,XL,,,,,ZZ09780-XL,,,Shop location,0,0,0,1,1
25,stay-groovy-oversize-gray-marl-tshirt,Stay Groovy Oversize Gray Marl Tshirt,Style Size,XS,,,,,ZZ09773-XS,,,Shop location,0,0,0,3,3
26,stay-groovy-oversize-gray-marl-tshirt,Stay Groovy Oversize Gray Marl Tshirt,Style Size,S,,,,,ZZ09773-S,,,Shop location,0,0,0,4,4
27,stay-groovy-oversize-gray-marl-tshirt,Stay Groovy Oversize Gray Marl Tshirt,Style Size,M,,,,,ZZ09773-M,,,Shop location,0,0,0,7,7
28,stay-groovy-oversize-gray-marl-tshirt,Stay Groovy Oversize Gray Marl Tshirt,Style Size,L,,,,,ZZ09773-L,,,Shop location,0,0,0,3,3
29,stay-groovy-oversize-gray-marl-tshirt,Stay Groovy Oversize Gray Marl Tshirt,Style Size,XL,,,,,ZZ09773-XL,,,Shop location,0,0,0,1,1
30,stay-in-the-sushine-oversize-tshirt,Stay In The Sushine Oversize Tshirt,Style Size,XS,,,,,ZZ09802-XS,,,Shop location,0,0,0,0,0
31,stay-in-the-sushine-oversize-tshirt,Stay In The Sushine Oversize Tshirt,Style Size,S,,,,,ZZ09802-S,,,Shop location,0,0,0,2,2
32,stay-in-the-sushine-oversize-tshirt,Stay In The Sushine Oversize Tshirt,Style Size,M,,,,,ZZ09802-M,,,Shop location,0,0,0,6,6
33,stay-in-the-sushine-oversize-tshirt,Stay In The Sushine Oversize Tshirt,Style Size,L,,,,,ZZ09802-L,,,Shop location,0,0,0,5,5
34,stay-in-the-sushine-oversize-tshirt,Stay In The Sushine Oversize Tshirt,Style Size,XL,,,,,ZZ09802-XL,,,Shop location,0,0,0,2,2
35,sun-kissed-oversize-light-pink-tshirt,Sun Kissed Oversize Light Pink Tshirt,Style Size,XS,,,,,ZZ09786-XS,,,Shop location,0,0,0,0,0
36,sun-kissed-oversize-light-pink-tshirt,Sun Kissed Oversize Light Pink Tshirt,Style Size,S,,,,,ZZ09786-S,,,Shop location,0,0,1,0,1
37,sun-kissed-oversize-light-pink-tshirt,Sun Kissed Oversize Light Pink Tshirt,Style Size,M,,,,,ZZ09786-M,,,Shop location,0,0,0,7,7
38,sun-kissed-oversize-light-pink-tshirt,Sun Kissed Oversize Light Pink Tshirt,Style Size,L,,,,,ZZ09786-L,,,Shop location,0,0,0,2,2
39,sun-kissed-oversize-light-pink-tshirt,Sun Kissed Oversize Light Pink Tshirt,Style Size,XL,,,,,ZZ09786-XL,,,Shop location,0,0,0,2,2
40,sunshine-in-my-mind-oversize-tshirt,Sunshine In My Mind Oversize Tshirt,Style Size,XS,,,,,ZZ09801-XS,,,Shop location,0,0,0,0,0
41,sunshine-in-my-mind-oversize-tshirt,Sunshine In My Mind Oversize Tshirt,Style Size,S,,,,,ZZ09801-S,,,Shop location,0,0,2,3,5
42,sunshine-in-my-mind-oversize-tshirt,Sunshine In My Mind Oversize Tshirt,Style Size,M,,,,,ZZ09801-M,,,Shop location,0,0,1,6,7
43,sunshine-in-my-mind-oversize-tshirt,Sunshine In My Mind Oversize Tshirt,Style Size,L,,,,,ZZ09801-L,,,Shop location,0,0,3,2,5
